,score
0,52.5
1,150.0
2,200.0
3,197.5
4,160.0
5,107.5
6,2.5
7,10.0
8,157.5
9,292.5
10,192.5
11,102.5
12,7.5
13,150.0
14,65.0
15,55.0
16,165.0
17,250.0
18,160.0
19,147.5
20,155.0
21,287.5
22,105.0
23,112.5
24,112.5
25,157.5
26,197.5
27,157.5
28,112.5
29,115.0
30,157.5
31,255.0
32,160.0
33,100.0
34,255.0
35,112.5
36,97.5
37,157.5
38,197.5
39,10.0
40,190.0
41,205.0
42,150.0
43,97.5
44,62.5
45,65.0
46,142.5
47,187.5
48,297.5
49,112.5
50,62.5
51,-40.0
52,55.0
53,215.0
54,207.5
55,160.0
56,200.0
57,100.0
58,205.0
59,155.0
60,57.5
61,100.0
62,165.0
63,47.5
64,347.5
65,90.0
66,195.0
67,205.0
68,157.5
69,105.0
70,110.0
71,52.5
72,235.0
73,65.0
74,115.0
75,117.5
76,162.5
77,152.5
78,190.0
79,107.5
80,100.0
81,62.5
82,110.0
83,135.0
84,-192.5
85,215.0
86,62.5
87,115.0
88,152.5
89,112.5
90,245.0
91,300.0
92,-37.5
93,112.5
94,150.0
95,100.0
96,147.5
97,107.5
98,397.5
99,45.0
100,200.0
101,210.0
102,205.0
103,132.5
104,60.0
105,105.0
106,202.5
107,187.5
108,107.5
109,205.0
110,207.5
111,150.0
112,57.5
113,55.0
114,152.5
115,72.5
116,110.0
117,17.5
118,202.5
119,155.0
120,67.5
121,152.5
122,175.0
123,142.5
124,42.5
125,155.0
126,162.5
127,140.0
128,297.5
129,165.0
130,160.0
131,147.5
132,150.0
133,162.5
134,165.0
135,112.5
136,60.0
137,140.0
138,197.5
139,197.5
140,122.5
141,65.0
142,200.0
143,-42.5
144,212.5
145,105.0
146,205.0
147,300.0
148,237.5
149,100.0
150,102.5
151,147.5
152,170.0
153,105.0
154,197.5
155,97.5
156,160.0
157,117.5
158,105.0
159,290.0
160,142.5
161,112.5
162,245.0
163,120.0
164,202.5
165,162.5
166,112.5
167,65.0
168,152.5
169,-40.0
170,105.0
171,157.5
172,162.5
173,62.5
174,60.0
175,45.0
176,52.5
177,372.5
178,67.5
179,112.5
180,65.0
181,182.5
182,157.5
183,212.5
184,142.5
185,-20.0
186,130.0
187,-57.5
188,150.0
189,52.5
190,147.5
191,142.5
192,167.5
193,125.0
194,160.0
195,100.0
196,65.0
197,167.5
198,160.0
199,67.5
200,60.0
201,55.0
202,205.0
203,110.0
204,160.0
205,152.5
206,202.5
207,147.5
208,65.0
209,62.5
210,-35.0
211,107.5
212,252.5
213,105.0
214,112.5
215,110.0
216,115.0
217,255.0
218,157.5
219,192.5
220,65.0
221,-37.5
222,157.5
223,112.5
224,95.0
225,100.0
226,255.0
227,115.0
228,177.5
229,102.5
230,112.5
231,152.5
232,210.0
233,117.5
234,207.5
235,257.5
236,67.5
237,212.5
238,202.5
239,162.5
240,110.0
241,155.0
242,160.0
243,62.5
244,62.5
245,62.5
246,67.5
247,107.5
248,295.0
249,200.0
250,212.5
251,67.5
252,350.0
253,67.5
254,200.0
255,152.5
256,200.0
257,137.5
258,152.5
259,182.5
260,162.5
261,152.5
262,57.5
263,15.0
264,67.5
265,155.0
266,295.0
267,152.5
268,210.0
269,197.5
270,192.5
271,142.5
272,150.0
273,57.5
274,207.5
275,150.0
276,235.0
277,-37.5
278,60.0
279,160.0
280,292.5
281,135.0
282,65.0
283,147.5
284,115.0
285,65.0
286,170.0
287,-37.5
288,62.5
289,157.5
290,157.5
291,200.0
292,75.0
293,95.0
294,162.5
295,110.0
296,287.5
297,105.0
298,100.0
299,67.5
300,120.0
301,197.5
302,167.5
303,65.0
304,65.0
305,70.0
306,-15.0
307,117.5
308,70.0
309,207.5
310,282.5
311,192.5
312,297.5
313,160.0
314,152.5
315,255.0
316,100.0
317,110.0
318,112.5
319,160.0
320,202.5
321,105.0
322,62.5
323,57.5
324,252.5
325,47.5
326,160.0
327,152.5
328,65.0
329,112.5
330,162.5
