,score
0,-47.2
1,-36.400000000000006
2,-47.0
3,-5.400000000000006
4,-23.400000000000013
5,-37.2
6,-78.20000000000002
7,-38.60000000000001
8,-34.4
9,-38.60000000000001
10,-47.400000000000006
11,-26.400000000000006
12,-57.2
13,-26.20000000000001
14,-38.00000000000001
15,-17.20000000000001
16,-18.800000000000004
17,-21.200000000000017
18,-36.60000000000001
19,-34.6
20,-35.6
21,-47.2
22,-24.800000000000004
23,-47.0
24,-47.400000000000006
25,-40.00000000000001
26,-35.599999999999994
27,-90.2
28,-27.000000000000007
29,-35.4
30,-38.60000000000001
31,-47.0
32,-35.2
33,-40.39999999999999
34,-21.40000000000001
35,-41.2
36,-37.00000000000001
37,-9.200000000000003
38,-26.400000000000006
39,-90.0
40,-28.600000000000012
41,-79.80000000000001
42,-43.400000000000006
43,-16.800000000000008
44,-28.000000000000007
45,-40.6
46,-32.000000000000014
47,-24.400000000000006
48,-23.20000000000001
49,-25.400000000000006
50,-33.40000000000001
51,-44.2
52,-34.20000000000001
53,-40.2
54,-90.0
55,-34.4
56,-43.2
57,-31.799999999999997
58,-32.60000000000001
59,-38.0
60,-32.20000000000001
61,-31.000000000000007
62,-33.400000000000006
63,-43.800000000000004
64,-24.80000000000001
65,-47.2
66,-35.2
67,-31.6
68,-24.800000000000004
69,-40.6
70,-39.6
71,-19.2
72,-36.400000000000006
73,-35.60000000000001
74,-40.2
75,-43.6
76,-9.000000000000005
77,-32.60000000000001
78,-24.000000000000007
79,-28.200000000000003
80,-14.200000000000014
81,-47.0
82,-36.20000000000001
83,-47.0
84,-90.0
85,-8.800000000000004
86,-47.2
87,-46.0
88,-31.80000000000001
89,-74.00000000000001
90,-29.400000000000002
91,-90.0
92,-90.6
93,-41.800000000000004
94,-43.6
95,-15.200000000000003
96,-33.00000000000001
97,-26.20000000000001
98,-33.800000000000004
99,-38.80000000000001
100,-16.80000000000001
101,-32.40000000000001
102,-35.00000000000001
103,-29.8
104,-39.40000000000001
105,-39.0
106,-28.600000000000023
107,-32.800000000000004
108,-21.200000000000006
109,-40.2
110,-90.4
111,-44.0
112,-44.0
113,-30.800000000000004
114,-40.6
115,-47.2
116,-47.0
117,-35.60000000000001
118,-28.000000000000014
119,-43.40000000000001
120,-14.400000000000007
121,-47.0
122,-47.60000000000001
123,-25.000000000000007
124,-22.200000000000006
125,-47.0
126,-19.799999999999997
127,-25.000000000000004
128,-40.2
129,-25.600000000000005
130,-77.4
131,-78.0
132,-63.40000000000001
133,-16.000000000000014
134,-35.60000000000001
135,-40.6
136,-67.00000000000001
137,-28.400000000000006
138,-43.20000000000001
139,-44.4
140,-39.400000000000006
141,-74.4
142,-23.600000000000016
143,-31.400000000000002
144,-72.20000000000002
145,-32.80000000000001
146,-37.0
147,-43.6
148,-36.60000000000001
149,-19.20000000000001
150,-34.4
151,-40.6
152,-25.000000000000007
153,-38.0
154,-47.0
155,-90.0
156,-43.599999999999994
157,-31.80000000000001
158,-78.0
159,-14.200000000000003
160,-18.000000000000014
161,-74.80000000000001
162,-20.400000000000013
163,-41.00000000000001
164,-45.400000000000006
165,-44.0
166,-35.20000000000001
167,-44.2
168,-90.0
169,-29.799999999999997
170,-35.20000000000001
171,-43.6
172,-38.400000000000006
173,-27.800000000000004
174,-90.0
175,-47.0
176,-44.400000000000006
177,-27.200000000000006
178,-38.60000000000001
179,-30.200000000000003
180,-25.000000000000004
181,-39.20000000000001
182,-38.60000000000001
183,-44.0
184,-32.20000000000001
185,-64.8
186,-81.80000000000001
187,-40.2
188,-36.400000000000006
189,-37.4
190,-81.60000000000001
191,-41.0
192,-43.2
193,-37.2
194,-18.799999999999997
195,-44.0
196,-35.80000000000001
197,-31.599999999999994
198,-27.8
199,-39.400000000000006
200,-40.2
201,-36.800000000000004
202,-44.0
203,-36.0
204,-83.6
205,-47.0
206,-27.800000000000008
207,-37.00000000000001
208,-75.19999999999999
209,-82.0
210,-24.40000000000001
211,-35.400000000000006
212,-90.4
213,-39.0
214,-32.80000000000001
215,-36.60000000000001
216,-27.60000000000001
217,-71.4
218,-47.0
219,-43.80000000000001
220,-78.4
221,-47.0
222,-35.80000000000001
223,-36.0
224,-24.20000000000001
225,-44.0
226,-43.6
227,-35.2
228,-20.600000000000012
229,-40.6
230,-37.400000000000006
231,-39.8
232,-36.20000000000001
233,-43.400000000000006
234,-28.6
235,-47.0
236,-33.800000000000004
237,-28.800000000000004
238,-31.800000000000004
239,-36.800000000000004
240,-20.400000000000006
241,-78.0
242,-3.0000000000000036
243,-75.00000000000001
244,-15.600000000000009
245,-15.4
246,-71.40000000000002
247,-31.200000000000003
248,-27.200000000000006
249,-33.00000000000001
250,-43.6
251,-82.80000000000001
252,-25.80000000000001
253,-33.2
254,-38.60000000000001
255,-40.00000000000001
256,-44.0
257,-81.60000000000001
258,-35.20000000000001
259,-29.400000000000013
260,-81.60000000000001
261,-31.6
262,-39.60000000000001
263,-36.8
264,-44.0
265,-32.80000000000001
266,-30.000000000000014
267,-78.0
268,-47.0
