,score
0,101.0
1,-46.5
2,-7.0
3,4.5
4,-37.5
5,14.5
6,82.0
7,70.0
8,-14.5
9,72.0
10,-6.0
11,-1.0
12,15.5
13,5.5
14,-32.5
15,-15.0
16,0.5
17,46.0
18,-27.0
19,-32.5
20,-8.0
21,-5.0
22,26.0
23,-27.5
24,-7.5
25,35.5
26,-45.0
27,-29.0
28,146.5
29,-25.0
30,58.0
31,4.0
32,-35.5
33,15.0
34,1.5
35,88.5
36,13.5
37,-6.0
38,31.5
39,-6.0
40,-10.0
41,38.5
42,-59.5
43,30.0
44,-33.0
45,-4.0
46,6.0
47,-48.0
48,1.0
49,1.0
50,-32.5
51,-12.0
52,35.0
53,-29.0
54,2.5
55,50.5
56,55.0
57,60.5
58,-18.5
59,60.5
60,75.5
61,49.0
62,6.5
63,-19.0
64,3.0
65,4.5
66,-7.0
67,4.0
68,96.5
69,-15.0
70,-23.0
71,-11.0
72,48.5
73,-36.5
74,7.5
75,40.0
76,9.5
77,35.5
78,-34.5
79,27.0
80,34.0
81,-42.0
82,113.0
83,-16.0
84,-29.0
85,24.0
86,-26.5
87,-40.0
88,-37.0
89,-36.0
90,-33.0
91,-19.0
92,-14.5
93,-17.0
94,-4.5
95,54.0
96,1.5
97,55.0
98,-44.5
99,25.0
100,0.5
101,10.0
102,-20.0
103,-23.5
104,29.0
105,91.5
106,-24.5
107,83.0
108,63.0
109,52.5
110,55.5
111,34.5
112,16.0
113,32.5
114,61.0
115,23.0
116,11.5
117,-20.0
118,93.5
119,100.5
120,9.5
121,-37.5
122,97.0
123,56.0
124,-31.0
125,27.5
126,-28.0
127,101.5
128,17.5
129,-48.5
130,-24.5
131,52.5
132,-22.0
133,-15.0
134,25.5
135,-48.0
136,22.0
137,4.5
138,17.0
139,17.0
140,-20.0
141,9.5
142,-17.0
143,-34.5
144,-4.5
145,-11.5
146,-32.5
147,-17.0
148,-48.5
149,35.0
150,18.5
151,25.0
152,74.5
153,32.5
154,84.5
155,95.0
156,-25.0
157,-20.5
158,9.5
159,-29.0
160,16.0
161,20.0
162,43.0
163,-4.0
164,-10.5
165,-7.5
166,-2.5
167,0.5
168,9.0
169,-43.5
170,-61.0
171,54.5
172,155.5
173,4.0
174,3.0
175,-27.0
176,22.5
177,-36.0
178,39.0
179,-23.0
180,20.0
181,75.0
182,-36.0
183,-24.0
184,-4.5
185,-40.0
186,17.5
187,40.0
188,-9.5
189,15.5
190,17.5
191,-15.0
192,4.5
193,-29.5
194,0.0
195,48.5
196,27.5
197,-13.0
198,-17.0
199,11.0
200,6.0
201,8.0
202,-21.5
203,4.5
204,-35.0
205,49.5
206,10.0
207,23.5
208,23.0
209,-64.5
210,8.5
211,2.0
212,-3.0
213,-21.5
214,20.0
215,21.5
216,78.0
217,-45.0
218,-15.5
219,97.5
220,-53.0
221,-5.5
222,-14.5
223,-2.5
224,-3.5
225,34.0
226,11.0
227,-48.0
228,-35.0
229,-46.0
230,64.0
231,-17.0
232,16.0
233,-37.0
234,2.5
235,6.5
236,111.5
237,-7.5
238,32.0
239,10.0
240,15.0
241,-4.0
242,41.0
243,43.5
244,-12.0
245,62.5
246,7.5
247,-2.0
248,52.5
249,-21.5
250,4.0
251,8.0
252,21.5
253,17.5
254,17.0
255,52.5
256,-32.0
257,16.5
258,30.5
259,13.5
260,37.5
261,17.0
262,-24.5
263,-48.5
264,11.0
265,28.5
266,-40.5
267,32.0
268,-15.0
269,87.0
270,79.5
271,-19.0
272,-19.5
273,-37.5
274,10.0
275,9.0
276,-11.5
277,-38.0
278,35.5
279,-13.5
280,-4.5
281,34.5
282,-17.5
283,5.5
284,28.5
285,-22.0
286,12.0
287,-7.0
288,2.0
289,-8.0
290,-56.0
291,15.0
292,-10.5
293,53.0
294,15.5
295,-4.0
296,14.5
297,-24.5
298,-39.0
299,-12.0
300,14.5
301,-42.5
302,31.5
303,127.5
304,15.0
305,43.5
306,-23.5
307,14.5
308,7.5
309,14.0
310,13.5
311,-16.0
312,-20.5
313,34.0
314,110.5
315,-30.0
316,-40.5
317,-20.0
318,24.5
319,20.0
320,-58.0
321,-9.0
322,-5.0
323,-19.5
324,-14.5
325,56.5
326,-38.0
327,-32.0
328,5.5
329,-2.5
330,-32.0
331,-25.5
332,65.5
333,-9.5
334,105.5
335,31.5
336,-26.5
337,-3.0
338,8.5
339,-16.0
340,49.0
341,-4.5
342,-39.5
343,-14.5
344,91.0
345,-1.0
346,-41.5
347,-37.5
348,65.0
349,-2.0
350,-11.0
351,-40.5
352,45.5
353,-37.0
354,-14.0
355,-30.5
356,9.5
357,2.0
358,5.5
359,48.5
360,21.5
361,107.0
362,31.5
363,-8.0
364,39.5
365,47.5
366,20.0
367,29.5
368,-37.5
369,23.5
370,-25.0
371,-59.0
372,-18.5
373,17.0
374,-4.0
375,-54.0
376,57.0
377,3.0
378,37.0
379,29.0
380,-20.5
381,-17.5
382,35.5
383,31.0
384,-14.0
385,39.0
386,50.5
387,19.0
388,-57.0
389,28.0
390,15.0
391,17.0
392,21.5
393,-7.5
394,-3.5
395,-31.0
396,-29.5
397,-7.5
398,-3.0
399,-29.5
400,0.0
401,-15.5
402,102.5
403,39.5
404,-4.5
405,-13.0
406,8.5
407,21.0
408,-15.0
409,20.0
410,13.0
411,-11.0
412,-24.0
413,7.0
414,-22.0
415,33.0
416,-35.0
417,-6.0
418,4.0
419,-34.5
420,-2.5
421,-11.5
422,-16.0
423,10.0
424,32.0
425,-19.0
426,2.0
427,5.5
428,-11.5
429,-0.5
430,32.0
431,49.0
432,-6.0
433,-33.5
434,-26.5
435,34.5
436,-2.0
437,61.5
438,20.0
439,-30.0
440,46.5
441,5.0
442,30.0
443,54.0
444,-20.5
445,-18.5
446,54.0
447,52.0
448,-31.5
449,16.0
450,-5.0
451,-20.0
452,34.0
453,-14.0
454,-0.5
455,-10.5
456,-33.5
457,44.0
458,23.0
459,31.0
460,-18.5
461,128.0
462,42.0
463,76.5
464,14.0
465,-4.0
466,-16.5
467,109.5
468,43.5
469,16.5
470,48.0
471,129.5
472,37.0
473,-9.5
474,163.5
475,45.0
476,62.5
477,-2.0
478,73.5
479,63.0
480,22.5
481,50.5
482,4.0
483,10.0
484,-20.0
485,-23.5
486,-7.0
487,-5.5
488,72.5
489,-22.0
490,-5.0
491,14.5
492,1.0
493,45.5
494,7.0
495,6.5
496,35.0
497,9.5
498,45.5
499,33.5
500,13.0
501,5.0
502,-25.5
503,-29.0
504,-2.0
505,96.5
506,-23.5
507,60.5
508,55.5
509,24.0
510,-40.5
511,13.5
512,21.5
513,-55.0
514,12.0
515,30.0
516,23.5
517,-27.0
518,10.5
519,23.0
520,3.0
521,66.5
522,-46.0
523,12.0
524,53.5
525,84.5
526,-20.0
527,-12.0
528,6.5
529,-8.5
530,-36.0
531,0.5
532,64.5
533,-26.5
534,-48.5
535,7.0
536,-18.5
537,60.0
538,5.5
539,-4.0
540,5.5
541,-6.5
542,-1.0
543,6.0
544,-7.0
545,-11.5
546,12.0
547,-36.0
548,66.0
549,10.0
550,-10.0
551,-34.0
552,60.0
553,178.0
554,17.0
555,24.0
556,114.0
557,-5.0
558,28.5
559,-12.5
560,-28.0
561,-3.0
562,44.0
563,-15.5
564,-33.0
565,46.5
566,-47.5
567,30.0
568,14.0
569,-42.5
570,53.5
571,25.5
572,-15.0
573,13.0
574,-37.5
575,7.0
576,-30.0
577,-11.0
578,10.0
579,67.5
580,-2.0
581,19.0
582,-14.5
583,8.0
584,14.5
585,-21.0
586,-34.0
587,5.0
588,4.0
589,24.0
590,-20.5
591,-43.5
592,-48.0
593,28.0
594,32.0
595,-15.5
596,-17.0
597,-8.0
598,-10.5
599,49.5
600,38.0
601,9.5
602,-27.5
603,47.0
604,24.0
605,-42.0
606,-43.0
607,-44.5
608,-4.5
609,82.0
610,54.5
611,-8.5
612,2.0
613,55.5
614,-24.5
615,-12.0
616,6.5
617,36.0
618,-2.0
619,46.5
620,-34.0
621,56.5
622,-20.5
623,48.0
624,-33.0
625,8.0
626,-19.0
627,30.5
628,-17.5
629,18.5
630,18.5
631,-11.5
632,-2.0
633,-5.0
634,-17.0
635,-14.5
636,24.0
637,19.0
638,18.5
639,12.5
640,1.5
641,10.0
642,-10.5
643,25.0
644,5.5
645,-6.0
646,-35.5
647,23.5
648,34.5
649,-30.0
650,-49.5
651,-15.5
652,-21.5
653,33.0
654,-41.0
655,5.5
656,-32.5
657,13.5
658,11.5
659,-35.0
660,-7.5
661,-18.0
662,-16.5
663,-31.5
664,24.5
665,-3.0
666,-3.0
667,-39.5
668,2.5
669,-7.5
670,-4.0
671,-17.5
672,-15.5
673,32.0
674,-26.0
675,4.5
676,-2.0
677,-16.5
678,-6.0
679,-35.5
680,-3.5
681,-24.0
682,3.5
683,-22.5
684,10.5
685,2.0
686,-37.5
687,8.5
688,-3.0
689,-29.0
690,-23.0
691,12.5
692,1.0
693,-7.5
694,34.5
695,-14.5
696,13.0
697,-46.0
698,15.0
699,59.5
700,17.0
701,5.0
702,-16.0
703,-15.0
704,111.0
705,-27.0
706,10.0
707,11.5
708,-33.0
709,-37.5
710,-25.5
711,-32.5
712,69.0
713,-18.5
714,-23.5
715,-20.5
716,5.0
717,-6.5
718,-7.0
719,104.0
720,9.0
721,-4.0
722,91.0
723,-10.5
724,12.0
725,37.5
726,-20.5
727,-2.5
728,-16.0
729,18.0
730,-28.0
731,-9.5
732,-49.0
733,-1.5
734,-42.0
735,51.0
736,43.0
737,-15.0
738,2.0
739,-47.5
740,31.5
741,58.5
742,3.5
743,-32.0
744,13.5
745,-34.0
746,-3.5
747,-12.5
748,28.5
749,-1.5
750,-0.5
751,-12.0
752,8.5
753,50.5
754,-26.0
755,10.0
756,-19.0
757,25.0
758,12.0
759,3.5
760,-4.5
761,3.5
762,59.5
763,-29.5
764,-49.0
765,-25.0
766,-29.0
767,-3.5
768,20.5
769,1.0
770,42.5
771,-16.5
772,30.0
773,4.0
774,-23.0
775,-38.5
776,-42.0
777,33.0
778,-29.5
779,22.0
780,-12.0
781,-43.0
782,-16.0
783,13.0
784,4.5
785,53.5
786,-16.5
787,-57.0
788,49.5
789,-32.0
790,-25.0
791,-39.0
792,-2.0
793,64.0
794,-1.5
795,30.5
796,-31.0
797,12.5
798,8.0
799,-28.5
800,-32.5
801,-11.0
802,-25.0
803,-13.0
804,-4.5
805,-17.0
806,82.0
807,10.0
808,17.0
809,20.5
810,-20.5
811,-25.0
812,6.0
813,-34.5
814,2.5
815,7.5
816,-10.5
817,-24.5
818,-24.5
819,-22.0
820,16.0
821,-15.5
822,-16.5
823,-19.0
824,-22.5
825,-28.0
826,0.5
827,49.5
828,13.5
829,2.5
830,-22.5
831,-21.5
832,-11.5
833,35.0
834,-33.0
835,18.0
836,42.5
837,-61.0
838,-5.5
839,-22.5
840,-6.5
841,-9.5
842,-3.0
843,16.5
844,-4.5
845,-22.5
846,29.0
847,-28.0
848,38.0
849,-13.0
850,2.0
851,-13.0
852,-31.0
853,-43.0
854,-22.0
855,33.0
856,-38.0
857,13.0
858,-39.5
859,-49.0
860,68.5
861,-6.0
862,-23.0
863,-39.5
864,51.0
865,37.0
866,-25.5
867,7.0
868,10.0
869,20.0
870,2.0
871,15.5
872,70.0
873,-40.0
874,-11.5
875,25.0
876,8.5
877,-33.5
878,-45.5
879,-39.5
880,-14.5
881,5.5
882,-32.0
883,-46.0
884,16.0
885,-5.0
886,-15.5
887,-5.0
888,-9.0
889,-37.0
890,-9.0
891,-26.0
892,-48.0
893,-12.5
894,-36.0
895,-44.0
896,42.0
897,0.0
898,-33.0
899,19.0
900,34.0
901,-2.5
902,22.5
903,-26.5
904,-12.0
905,-17.5
906,-35.0
907,1.5
908,22.0
909,-38.5
910,-19.0
911,-9.0
912,42.0
913,7.5
914,-56.5
915,6.5
916,-0.5
917,33.0
918,-33.5
919,-46.0
920,19.5
921,-6.0
922,-25.5
923,-0.5
924,-47.0
925,-40.5
926,-30.0
927,-23.0
928,-23.0
929,-24.0
930,9.0
931,9.0
932,-42.5
933,31.5
934,-19.5
935,20.5
936,-35.0
937,0.5
938,20.5
939,-28.0
940,-33.0
941,-4.0
942,33.5
943,-10.0
944,-16.5
945,-25.5
946,64.5
947,-0.5
948,25.0
949,-35.5
950,-13.0
951,-4.5
952,9.0
953,-38.5
954,-42.5
955,-13.5
956,43.0
957,16.5
958,-37.0
959,13.0
960,11.5
961,-28.5
962,-21.0
963,5.0
964,15.5
965,24.5
966,-29.5
967,-43.0
968,11.5
969,-37.0
970,8.5
971,12.5
972,23.0
973,-9.5
974,-32.5
975,5.0
976,-35.0
977,0.0
978,28.5
979,-20.0
980,-34.5
981,3.5
982,-24.5
983,2.0
984,112.0
985,-8.5
986,5.5
987,21.5
988,-32.5
989,2.5
990,-1.0
991,-34.5
992,22.0
993,23.0
