,score
0,-540.0
1,-565.0
2,-462.5
3,-585.0
4,-547.5
5,-577.5
6,-610.0
7,-605.0
8,-550.0
9,-570.0
10,-492.5
11,-530.0
12,-502.5
13,-390.0
14,-537.5
15,-535.0
16,-605.0
17,-507.5
18,-590.0
19,-527.5
20,-965.0
21,-532.5
22,-555.0
23,-522.5
24,-582.5
25,-502.5
26,-567.5
27,-562.5
28,-587.5
29,-555.0
30,-342.5
31,-547.5
32,-625.0
33,-615.0
34,-462.5
35,-605.0
36,-602.5
37,-492.5
38,-580.0
39,-617.5
40,-602.5
41,-520.0
42,-460.0
43,-480.0
44,-590.0
45,-557.5
46,-492.5
47,-615.0
48,-512.5
49,-607.5
50,-587.5
51,-1012.5
52,-497.5
53,-485.0
54,-460.0
55,-580.0
56,-527.5
57,-622.5
58,-555.0
59,-512.5
60,-540.0
61,-567.5
62,-477.5
63,-585.0
64,-535.0
65,-565.0
66,-517.5
67,-572.5
68,-570.0
69,-525.0
70,-565.0
71,-637.5
72,-602.5
73,-447.5
74,-505.0
75,-447.5
76,-407.5
77,-530.0
78,-587.5
79,-490.0
80,-527.5
81,-585.0
82,-590.0
83,-517.5
84,-490.0
85,-485.0
86,-567.5
87,-437.5
88,-592.5
89,-932.5
90,-492.5
91,-542.5
92,-482.5
93,-582.5
94,-602.5
95,-540.0
96,-595.0
97,-575.0
98,-532.5
99,-562.5
100,-597.5
101,-572.5
102,-587.5
103,-562.5
104,-512.5
105,-467.5
106,-505.0
107,-602.5
108,-560.0
109,-567.5
110,-560.0
111,-1000.0
112,-560.0
113,-560.0
114,-392.5
115,-470.0
116,-355.0
117,-552.5
118,-550.0
119,-912.5
120,-632.5
121,-460.0
122,-547.5
123,-487.5
124,-590.0
125,-587.5
126,-652.5
127,-590.0
128,-577.5
129,-445.0
130,-595.0
131,-447.5
132,-517.5
133,-567.5
134,-570.0
135,-575.0
136,-562.5
137,-587.5
138,-597.5
139,-547.5
140,-625.0
141,-472.5
142,-360.0
143,-537.5
144,-932.5
145,-537.5
146,-552.5
147,-562.5
148,-972.5
149,-565.0
150,-480.0
151,-555.0
152,-537.5
153,-552.5
154,-417.5
155,-510.0
156,-442.5
157,-560.0
158,-547.5
159,-577.5
160,-552.5
161,-572.5
162,-627.5
163,-612.5
164,-467.5
165,-442.5
166,-532.5
167,-600.0
168,-535.0
169,-600.0
170,-482.5
171,-502.5
172,-1027.5
173,-482.5
174,-600.0
175,-470.0
176,-495.0
177,-515.0
178,-557.5
179,-600.0
180,-600.0
181,-540.0
182,-590.0
183,-522.5
184,-520.0
185,-500.0
186,-635.0
187,-510.0
188,-520.0
189,-595.0
190,-545.0
191,-482.5
192,-545.0
193,-460.0
194,-485.0
195,-577.5
196,-555.0
197,-507.5
198,-562.5
199,-602.5
200,-580.0
201,-545.0
202,-612.5
203,-600.0
204,-512.5
205,-400.0
206,-630.0
207,-562.5
208,-645.0
