,score
0,-294
1,-156
2,-344
3,-354
4,-216
5,-176
6,-314
7,-322
8,-208
9,-332
10,-390
11,-318
12,-318
13,-254
14,-76
15,-356
16,-308
17,-428
18,-160
19,-344
20,-186
21,-124
22,-380
23,-364
24,-390
25,4
26,-278
27,-220
28,-214
29,-134
30,-206
31,-394
32,-280
33,-384
34,-182
35,-302
36,-668
37,-246
38,-370
39,-358
40,-4
41,-76
42,-194
43,-196
44,-242
45,-210
46,-706
47,98
48,-378
49,-356
50,-72
51,-314
52,-166
53,-214
54,-222
55,-418
56,-200
57,-274
58,-202
59,-266
60,14
61,-370
62,-296
63,-168
64,-242
65,-328
66,-278
67,-370
68,-378
69,-222
70,-12
71,-222
72,-392
73,-286
74,-184
75,-238
76,-352
77,-360
78,-174
79,-348
80,-188
81,-314
82,-246
83,210
84,-278
85,-390
86,-146
87,-326
88,-420
89,-744
90,-412
91,-168
92,-252
93,-250
94,40
95,-142
96,-138
97,-332
98,-294
99,-686
100,-362
101,-256
102,-214
103,-202
104,-22
105,-270
106,-588
107,-224
108,-322
109,-156
110,-282
111,54
112,-170
113,-122
114,-262
115,-298
116,-248
117,-238
118,-646
119,-380
120,-120
121,-336
122,-354
123,-176
124,-84
125,-444
126,-308
127,-382
128,-414
129,-254
130,-284
131,-406
132,-300
133,-274
134,-276
135,-384
136,-170
137,-96
138,-268
139,-300
140,286
141,-848
142,-280
143,-280
144,-192
145,-188
146,-272
147,-130
148,-708
149,-126
150,-244
151,-136
152,-382
153,-112
154,-298
155,-30
156,-392
157,-338
158,-202
159,-310
160,-308
161,-262
162,-410
163,-638
164,-686
165,-300
166,-404
167,-246
168,-204
169,-334
170,-424
171,-272
172,-324
173,-294
174,-346
175,-278
176,-354
177,-426
178,-210
179,-238
180,-296
181,-380
182,-132
183,-154
184,-150
185,-208
186,-388
187,-304
188,-134
189,-230
190,-342
191,-274
192,-408
193,-268
194,-262
195,-124
196,-224
197,-278
198,-422
199,-174
200,-416
201,-260
202,-300
203,-232
204,-100
205,-150
206,-214
207,-364
208,-36
209,-232
210,-356
211,-156
212,-90
213,-272
214,-222
215,-262
216,-140
217,-290
218,-330
219,-236
220,-132
221,-294
222,-320
223,-178
224,-300
225,-364
226,-428
227,-190
228,-340
229,-368
230,-108
231,-118
232,-390
233,-318
234,-318
235,-270
236,-378
237,-72
238,-230
239,-286
240,-192
241,-166
242,-292
243,-162
244,-392
245,-224
246,-196
247,-184
248,-258
249,-328
250,-316
251,-230
252,-214
253,-282
254,-74
255,-128
256,-334
257,-268
258,-100
259,-328
260,-118
261,-350
262,-230
263,-36
264,-108
265,-150
266,-118
267,-306
268,-258
269,-128
270,-180
271,-662
272,-292
273,-182
274,36
275,-76
276,-288
277,-360
278,-298
279,-270
280,-290
281,-274
282,-234
283,-258
284,-446
285,-172
286,-260
287,-214
288,-138
289,-152
290,-234
291,-254
292,-346
293,-260
294,-182
295,-282
296,-158
297,-268
298,-210
299,-360
300,-536
301,-330
302,-320
303,-76
304,-498
305,-246
306,74
307,-338
308,-322
309,74
310,-336
311,-358
312,-314
313,-298
314,-348
315,-136
316,-300
317,-192
318,-112
319,-254
320,-368
321,-72
322,-230
323,58
324,-72
325,-130
326,-220
327,-300
328,-718
329,-310
330,-308
331,-640
332,240
333,-118
334,-128
335,-268
336,-32
337,-294
338,20
339,-688
340,-702
341,-250
342,-370
343,-116
344,-288
345,-178
346,-270
347,-644
348,-228
349,-214
350,-386
351,-324
352,-432
353,86
354,38
355,-216
356,-240
357,-270
358,-158
359,-132
360,-154
361,-376
362,-302
363,-576
364,-260
365,-94
366,-580
367,-216
368,-436
369,-204
370,-302
371,-296
372,-54
373,-128
374,-186
375,-50
376,-278
377,-180
378,-216
379,-258
380,44
381,-556
382,-276
383,-286
384,-166
385,-466
386,-230
387,-302
388,-134
389,-120
390,60
391,-230
392,-260
393,-210
394,-336
395,-162
396,-384
397,68
398,-28
399,-154
400,-362
401,-132
402,-270
403,-216
404,-82
405,-340
406,-168
407,-96
408,-164
409,-230
410,-4
411,-242
412,-312
413,-182
414,-308
415,-18
416,-300
417,-410
418,-272
419,-312
420,-280
421,-122
422,82
423,-146
424,-172
425,-276
426,-434
427,-356
428,-96
429,-156
430,-416
431,-284
432,-370
433,-136
434,-380
435,-136
436,38
437,-272
438,-274
439,-274
440,-214
441,-238
442,-366
443,-136
444,-290
445,-364
446,-174
447,-276
448,-236
449,-282
450,-398
451,-322
452,-276
453,-618
454,-388
455,-234
456,-372
457,-188
458,-378
459,-230
460,2
461,-156
462,-398
463,-240
464,-286
465,-402
466,-48
467,-202
468,-132
469,-238
470,-198
471,-218
472,-206
473,-378
474,-194
475,-264
476,-160
477,-248
478,-276
479,-154
480,-112
481,-208
482,-302
483,-332
484,-344
485,-262
486,-184
487,154
488,-60
489,-234
490,-198
491,-184
492,-384
493,-320
494,-206
495,-362
496,-388
497,-64
498,-302
499,-364
500,-148
501,-310
502,-134
503,-226
504,-186
505,-260
506,-744
507,-436
508,-320
509,-148
510,-256
511,-206
512,-288
513,-90
514,-140
515,-318
516,-274
517,-68
518,-194
519,-242
520,-198
521,-320
522,-48
523,-390
524,-424
525,-130
526,-302
527,-560
528,-260
529,-106
530,-146
531,-244
532,-282
533,-402
534,-368
535,-310
536,-272
537,-210
538,-136
539,-222
540,-318
541,-394
542,-212
543,-356
544,-234
545,-238
546,-104
547,-382
548,-392
549,-346
550,-74
551,-130
552,-156
553,-228
554,-142
555,-174
556,-300
557,-190
558,-368
559,-62
560,-366
561,-318
562,40
563,-82
564,-342
565,-288
566,-232
567,-388
568,-300
569,-52
570,-114
571,-378
572,-222
573,-316
574,-446
575,-84
576,-248
577,-266
578,-348
579,-298
580,-158
581,-192
582,-260
583,-260
584,-278
585,-236
586,-252
587,-254
588,-54
589,26
590,-288
591,-162
592,-168
593,-22
594,-86
595,-306
596,-274
597,-188
598,-316
599,-46
600,-324
601,-280
602,-146
603,-318
604,-212
605,-268
606,-304
607,24
608,-320
609,-232
610,-392
611,-138
612,-230
613,-238
614,-52
615,-376
616,-62
617,-218
618,-342
619,-260
620,-294
621,-146
622,-176
623,-388
624,-394
625,-354
626,-332
627,-458
628,-352
629,-414
630,-692
631,-424
632,-214
633,-348
634,-438
635,-320
636,-56
637,-230
638,-140
639,-220
640,-324
641,-294
642,-22
643,-292
644,-284
645,-236
646,-324
647,-258
648,-282
649,-246
650,-312
651,-150
652,72
653,-282
654,-408
655,-56
656,-286
657,-78
658,-316
659,-84
660,-374
661,-138
662,-240
663,-282
664,-336
665,-122
666,-302
667,-592
668,-340
669,-238
