,steps
0,19
1,20
2,20
3,21
4,16
5,17
6,19
7,16
8,17
9,23
10,23
11,19
12,17
13,20
14,14
15,18
16,14
17,20
18,16
19,21
20,18
21,25
22,18
23,15
24,15
25,17
26,21
27,25
28,15
29,14
30,17
31,18
32,16
33,20
34,18
35,15
36,21
37,17
38,21
39,16
40,24
41,18
42,20
43,21
44,15
45,14
46,23
47,25
48,21
49,15
50,15
51,16
52,18
53,22
54,17
55,16
56,20
57,20
58,18
59,18
60,17
61,20
62,14
63,21
64,21
65,24
66,22
67,18
68,17
69,18
70,16
71,19
72,26
73,14
74,14
75,13
76,15
77,19
78,24
79,17
80,20
81,15
82,16
83,26
84,13
85,22
86,15
87,14
88,19
89,15
90,22
91,20
92,15
93,15
94,20
95,20
96,21
97,17
98,21
99,22
100,20
101,16
102,18
103,27
104,16
105,18
106,19
107,25
108,17
109,18
110,17
111,20
112,17
113,18
114,19
115,19
116,16
117,13
118,19
119,18
120,13
121,19
122,30
123,23
124,23
125,18
126,15
127,24
128,21
129,14
130,16
131,21
132,20
133,15
134,14
135,15
136,16
137,24
138,21
139,21
140,19
141,14
142,20
143,17
144,15
145,18
146,18
147,20
148,25
149,20
150,19
151,21
152,12
153,18
154,21
155,21
156,16
157,13
158,18
159,24
160,23
161,15
162,22
163,12
164,19
165,15
166,15
167,14
168,19
169,16
170,18
171,17
172,15
173,15
174,16
175,22
176,19
177,31
178,13
179,15
180,14
181,27
182,17
183,15
184,31
185,16
186,16
187,23
188,20
189,19
190,21
191,23
192,13
193,18
194,16
195,20
196,14
197,13
198,16
199,13
200,16
201,18
202,18
203,16
204,16
205,19
206,19
207,21
208,14
209,15
210,14
211,17
212,27
213,18
214,15
215,16
216,14
217,18
218,17
219,23
220,14
221,15
222,17
223,15
224,22
225,20
226,18
227,14
228,29
229,19
230,15
231,19
232,16
233,13
234,17
235,17
236,13
237,15
238,19
239,15
240,16
241,18
242,16
243,15
244,15
245,15
246,13
247,17
248,22
249,20
250,15
251,13
252,20
253,13
254,20
255,19
256,20
257,25
258,19
259,27
260,15
261,19
262,17
263,14
264,13
265,18
266,22
267,19
268,24
269,21
270,23
271,23
272,20
273,17
274,17
275,20
276,26
277,15
278,16
279,16
280,23
281,26
282,14
283,21
284,14
285,14
286,20
287,15
288,15
289,17
290,17
291,20
292,18
293,22
294,15
295,16
296,25
297,18
298,20
299,13
300,12
301,21
302,13
303,14
304,14
305,12
306,14
307,13
308,12
309,17
310,27
311,23
312,21
313,16
314,19
315,18
316,20
317,16
318,15
319,16
320,19
321,18
322,15
323,17
324,19
325,21
326,16
327,19
328,14
329,15
330,15
