,steps
0,16
1,100
2,100
3,99
4,100
5,98
6,38
7,100
8,100
9,57
10,100
11,68
12,70
13,100
14,100
15,100
16,61
17,100
18,98
19,100
20,65
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,47
31,100
32,100
33,48
34,100
35,100
36,100
37,100
38,100
39,100
40,92
41,75
42,69
43,97
44,100
45,91
46,46
47,100
48,100
49,100
50,100
51,100
52,87
53,100
54,36
55,83
56,100
57,100
58,100
59,55
60,82
61,100
62,100
63,100
64,100
65,100
66,81
67,89
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,35
76,100
77,71
78,62
79,64
80,100
81,72
82,99
83,100
84,100
85,60
86,76
87,80
88,45
89,100
90,100
