,steps
0,10
1,14
2,10
3,21
4,18
5,12
6,16
7,16
8,16
9,16
10,10
11,15
12,20
13,15
14,11
15,19
16,16
17,22
18,13
19,16
20,15
21,10
22,17
23,10
24,10
25,12
26,14
27,10
28,15
29,15
30,16
31,10
32,16
33,11
34,18
35,10
36,12
37,19
38,21
39,10
40,16
41,13
42,12
43,20
44,19
45,11
46,16
47,17
48,17
49,16
50,14
51,10
52,14
53,12
54,10
55,16
56,12
57,16
58,16
59,10
60,17
61,17
62,14
63,11
64,20
65,10
66,16
67,16
68,18
69,11
70,13
71,17
72,14
73,16
74,12
75,11
76,21
77,14
78,19
79,16
80,23
81,10
82,14
83,10
84,10
85,26
86,10
87,23
88,17
89,16
90,21
91,10
92,10
93,11
94,11
95,16
96,13
97,18
98,12
99,16
100,25
101,16
102,15
103,15
104,15
105,14
106,22
107,14
108,19
109,12
110,10
111,10
112,10
113,18
114,11
115,10
116,10
117,16
118,20
119,34
120,22
121,10
122,10
123,16
124,16
125,10
126,21
127,17
128,12
129,16
130,16
131,16
132,21
133,24
134,16
135,11
136,21
137,18
138,13
139,11
140,14
141,16
142,19
143,16
144,17
145,15
146,12
147,11
148,13
149,24
150,16
151,11
152,17
153,10
154,10
155,10
156,12
157,17
158,16
159,22
160,21
161,16
162,15
163,11
164,10
165,10
166,15
167,10
168,10
169,15
170,17
171,11
172,15
173,18
174,10
175,10
176,10
177,13
178,16
179,16
180,17
181,15
182,16
183,10
184,17
185,17
186,16
187,12
188,14
189,13
190,16
191,10
192,12
193,13
194,22
195,10
196,15
197,16
198,16
199,14
200,12
201,13
202,10
203,14
204,11
205,10
206,17
207,12
208,15
209,15
210,19
211,15
212,10
213,14
214,15
215,13
216,18
217,16
218,10
219,12
220,16
221,10
222,11
223,14
224,16
225,10
226,11
227,16
228,19
229,11
230,11
231,12
232,16
233,12
234,17
235,10
236,13
237,16
238,16
239,13
240,15
241,16
242,22
243,16
244,18
245,23
246,20
247,11
248,16
249,14
250,11
251,13
252,17
253,13
254,16
255,12
256,10
257,16
258,17
259,16
260,16
261,16
262,13
263,12
264,10
265,16
266,16
267,16
268,10
269,15
270,13
271,14
272,10
273,14
274,16
275,18
276,10
277,15
278,17
279,10
280,18
281,11
282,14
283,10
284,11
285,10
286,15
287,19
288,16
289,12
290,19
291,22
292,16
293,10
294,15
295,21
296,20
297,21
298,20
299,11
300,10
