,steps
0,32
1,26
2,41
3,18
4,35
5,31
6,28
7,18
8,36
9,28
10,29
11,28
12,25
13,36
14,31
15,22
16,18
17,27
18,20
19,27
20,26
21,29
22,30
23,33
24,33
25,33
26,27
27,25
28,19
29,30
30,49
31,35
32,18
33,22
34,49
35,26
36,17
37,37
38,24
39,23
40,25
41,32
42,32
43,40
44,28
45,23
46,29
47,22
48,21
49,19
50,19
51,29
52,23
53,42
54,48
55,16
56,27
57,17
58,22
59,37
60,24
61,19
62,31
63,18
64,30
65,26
66,31
67,29
68,28
69,26
70,34
71,15
72,17
73,27
74,34
75,35
76,35
77,36
78,19
79,28
80,27
81,26
82,20
83,23
84,28
85,26
86,19
87,47
88,29
89,37
90,37
91,49
92,41
93,33
94,25
95,32
96,22
97,22
98,29
99,41
100,39
101,21
102,27
103,25
104,29
105,43
106,26
107,17
108,24
109,19
110,32
111,24
112,24
113,24
114,37
115,36
116,46
117,29
118,36
119,53
120,37
121,32
122,27
123,27
124,20
125,27
126,21
127,20
128,31
129,34
130,30
131,43
132,23
133,35
134,20
135,30
136,33
137,19
138,15
139,27
140,26
141,37
142,48
143,31
144,37
145,31
146,21
147,25
148,29
149,26
150,32
151,30
152,31
153,29
154,39
155,44
156,33
157,32
158,27
159,23
160,29
161,21
162,19
163,21
164,27
165,57
166,29
167,24
168,30
169,24
170,33
171,33
172,19
173,33
174,24
175,44
176,30
177,30
178,15
179,24
180,32
181,24
182,20
183,33
184,40
185,24
186,22
187,28
188,40
189,22
190,42
191,25
192,26
193,40
194,34
195,23
196,38
197,27
198,41
199,17
200,40
201,26
202,21
203,32
204,45
205,48
206,20
207,33
208,18
209,36
210,27
211,29
212,18
213,27
214,20
215,33
216,49
217,26
218,29
219,25
220,32
221,16
222,20
223,19
224,22
225,17
226,20
227,32
228,42
229,42
230,33
231,18
232,29
233,24
234,35
235,30
236,33
237,25
238,29
239,28
240,49
241,25
242,41
243,18
244,25
245,26
246,18
247,40
248,20
249,19
250,26
251,27
252,41
253,23
254,31
255,32
256,24
257,28
258,25
259,15
260,46
261,26
262,40
263,29
264,24
265,21
266,25
267,24
268,26
269,31
270,22
271,27
272,51
273,30
274,30
275,36
276,25
277,39
278,30
279,17
280,25
281,44
282,23
283,21
284,42
285,35
286,33
287,28
288,23
289,25
290,25
291,25
292,18
293,20
294,58
295,31
296,29
297,29
298,30
299,25
300,30
301,29
302,31
303,15
304,25
305,25
306,26
307,17
308,19
309,28
310,27
311,26
312,28
313,36
314,33
315,29
316,37
317,50
318,24
319,29
320,24
321,28
322,39
323,37
324,23
325,29
326,25
327,29
328,15
329,24
330,23
331,17
332,26
333,27
334,22
335,17
336,31
337,27
338,29
339,42
340,21
341,33
342,44
343,25
344,32
345,27
346,25
347,32
348,41
349,31
350,39
351,36
352,30
353,18
354,31
355,17
356,38
357,31
358,22
359,22
360,29
361,19
362,26
363,29
364,18
365,19
366,18
367,34
368,40
369,22
370,41
371,22
372,31
373,29
374,19
375,44
376,26
377,34
378,17
379,36
380,35
381,23
382,16
383,24
384,26
385,21
386,19
387,39
388,23
389,31
390,20
391,19
392,20
393,20
394,31
395,31
396,21
397,26
398,30
399,35
400,25
401,31
402,29
403,18
404,23
405,23
406,23
407,48
408,31
409,48
410,26
411,26
412,33
413,25
414,44
415,23
416,35
417,37
418,34
419,26
420,33
421,33
422,26
423,26
424,32
425,29
426,30
427,40
428,30
429,28
430,20
431,26
432,40
433,27
434,31
435,21
436,29
437,24
438,30
439,23
440,26
441,35
442,33
443,32
444,41
445,27
446,33
447,22
448,20
449,24
450,20
451,39
452,23
453,26
454,37
455,35
456,29
457,24
458,37
459,46
460,28
461,43
462,28
463,20
464,23
465,38
466,27
467,22
468,24
469,38
470,21
471,20
472,30
473,23
474,34
475,30
476,25
477,34
478,36
479,29
480,28
481,27
482,36
483,28
484,25
485,26
486,21
487,22
488,28
489,29
490,20
491,29
492,21
493,33
494,15
495,17
496,33
497,28
498,40
499,23
500,27
501,25
502,23
503,17
504,19
505,36
506,20
507,22
508,31
509,28
510,30
511,41
512,27
513,31
514,26
515,20
516,30
517,30
518,18
519,22
520,36
521,28
522,47
523,23
524,21
525,42
526,40
527,47
528,19
529,38
530,45
531,19
532,24
533,31
534,26
535,38
536,51
537,46
538,32
539,19
540,29
541,25
542,42
543,28
544,25
545,18
546,55
547,49
548,19
549,19
550,22
551,21
552,28
553,34
554,27
555,47
556,23
557,41
558,38
559,30
560,32
561,22
562,45
563,27
564,37
565,25
566,25
567,58
568,41
569,23
570,47
571,35
572,35
573,30
574,29
575,20
576,37
577,29
578,46
579,22
580,19
581,22
582,25
583,24
584,52
585,20
586,36
587,24
588,32
589,41
590,42
591,34
592,23
593,27
594,36
595,25
596,34
597,20
598,24
599,21
600,29
601,28
602,28
603,15
604,24
605,28
606,27
607,40
608,23
609,42
610,34
611,32
612,19
613,26
614,23
615,20
616,32
617,15
618,30
619,38
620,24
621,19
622,36
623,22
624,26
625,44
626,34
627,36
628,25
629,26
630,21
