,steps
0,22
1,42
2,20
3,19
4,34
5,29
6,26
7,21
8,29
9,22
10,18
11,21
12,26
13,33
14,36
15,18
16,24
17,17
18,34
19,25
20,26
21,49
22,22
23,18
24,28
25,44
26,24
27,29
28,33
29,36
30,35
31,21
32,29
33,21
34,33
35,23
36,28
37,28
38,24
39,22
40,37
41,45
42,32
43,27
44,29
45,33
46,26
47,47
48,20
49,25
50,44
51,23
52,24
53,32
54,30
55,17
56,45
57,26
58,29
59,27
60,47
61,23
62,27
63,43
64,27
65,26
66,27
67,20
68,22
69,35
70,41
71,30
72,16
73,24
74,32
75,23
76,25
77,22
78,36
79,19
80,40
81,23
82,28
83,54
84,25
85,21
86,30
87,28
88,18
89,20
90,20
91,40
92,25
93,31
94,46
95,26
96,32
97,25
98,26
99,24
100,23
101,27
102,32
103,34
104,42
105,25
106,35
107,24
108,21
109,28
110,26
111,46
112,32
113,38
114,36
115,25
116,32
117,27
118,36
119,22
120,43
121,22
122,22
123,34
124,46
125,18
126,24
127,20
128,16
129,22
130,23
131,19
132,25
133,25
134,24
135,18
136,30
137,31
138,34
139,20
140,64
141,18
142,29
143,21
144,32
145,28
146,32
147,48
148,33
149,37
150,33
151,40
152,17
153,30
154,28
155,42
156,16
157,20
158,32
159,31
160,28
161,33
162,18
163,30
164,29
165,27
166,17
167,25
168,28
169,26
170,19
171,25
172,22
173,25
174,17
175,25
176,24
177,18
178,34
179,30
180,22
181,19
182,39
183,34
184,34
185,27
186,17
187,23
188,32
189,25
190,25
191,25
192,17
193,34
194,30
195,32
196,30
197,28
198,21
199,31
200,17
201,33
202,22
203,27
204,39
205,32
206,32
207,25
208,55
209,30
210,26
211,29
212,40
213,18
214,35
215,24
216,33
217,23
218,24
219,33
220,35
221,29
222,27
223,30
224,22
225,22
226,17
227,34
228,22
229,22
230,33
231,35
232,18
233,21
234,31
235,20
236,22
237,43
238,34
239,27
240,52
241,41
242,22
243,31
244,20
245,28
246,39
247,33
248,29
249,24
250,26
251,27
252,34
253,25
254,39
255,36
256,23
257,24
258,40
259,22
260,35
261,20
262,40
263,38
264,41
265,34
266,47
267,29
268,29
269,28
270,31
271,25
272,26
273,35
274,42
275,44
276,27
277,19
278,24
279,26
280,25
281,24
282,35
283,25
284,15
285,35
286,33
287,27
288,39
289,34
290,33
291,27
292,20
293,25
294,43
295,29
296,44
297,24
298,31
299,18
300,39
301,26
302,22
303,43
304,50
305,24
306,49
307,27
308,25
309,40
310,21
311,18
312,26
313,21
314,18
315,31
316,23
317,36
318,46
319,29
320,20
321,42
322,27
323,53
324,46
325,31
326,26
327,21
328,29
329,23
330,23
331,26
332,54
333,34
334,39
335,34
336,57
337,21
338,39
339,26
340,31
341,27
342,22
343,35
344,20
345,39
346,22
347,29
348,30
349,31
350,22
351,23
352,14
353,52
354,36
355,26
356,35
357,28
358,37
359,38
360,40
361,20
362,22
363,31
364,25
365,46
366,34
367,38
368,17
369,33
370,21
371,27
372,45
373,32
374,36
375,34
376,34
377,34
378,31
379,23
380,60
381,44
382,26
383,28
384,36
385,35
386,30
387,27
388,36
389,44
390,63
391,39
392,26
393,26
394,19
395,31
396,19
397,54
398,37
399,37
400,25
401,41
402,38
403,32
404,36
405,21
406,29
407,41
408,33
409,42
410,36
411,33
412,30
413,43
414,19
415,42
416,21
417,19
418,24
419,22
420,24
421,35
422,43
